timeLog,thermoLog
0,[12.81749179]
49,[12.81749179]
99,[13.14980552]
149,[13.64827612]
199,[11.98670745]
249,[8.49741324]
299,[12.81749179]
349,[12.81749179]
399,[13.48211926]
449,[12.81749179]
499,[14.97753106]
549,[12.98364865]
599,[12.81749179]
649,[14.14674672]
699,[7.83278577]
749,[13.48211926]
799,[13.64827612]
849,[11.32207998]
899,[14.97753106]
949,[7.6666289]
999,[13.31596239]
1049,[13.14980552]
1099,[13.64827612]
1149,[14.14674672]
1199,[12.31902119]
1249,[12.81749179]
1299,[12.98364865]
1349,[12.31902119]
1399,[15.97447226]
1449,[12.15286432]
1499,[13.48211926]
1549,[14.31290359]
1599,[15.64215853]
1649,[7.6666289]
1699,[13.14980552]
1749,[13.81443299]
1799,[14.14674672]
1849,[8.49741324]
1899,[12.81749179]
1949,[13.81443299]
1999,[12.31902119]
2049,[11.65439372]
2099,[17.96835467]
2149,[12.98364865]
2199,[13.48211926]
2249,[12.81749179]
2299,[12.31902119]
2349,[13.31596239]
2399,[13.64827612]
2449,[13.31596239]
2499,[13.48211926]
2549,[14.97753106]
2599,[12.81749179]
2649,[12.81749179]
2699,[12.81749179]
2749,[10.15898191]
2799,[14.81137419]
2849,[13.81443299]
2899,[12.31902119]
2949,[13.14980552]
2999,[10.15898191]
3049,[17.13757033]
3099,[12.65133492]
3149,[13.48211926]
3199,[13.81443299]
3249,[8.99588384]
3299,[13.31596239]
3349,[14.31290359]
3399,[12.31902119]
3449,[11.15592311]
3499,[18.13451154]
3549,[12.98364865]
3599,[12.31902119]
3649,[11.65439372]
3699,[10.49129565]
3749,[13.64827612]
3799,[13.31596239]
3849,[12.65133492]
3899,[14.31290359]
3949,[6.83584457]
3999,[13.31596239]
4049,[12.81749179]
4099,[12.98364865]
4149,[14.81137419]
4199,[9.99282504]
4249,[12.31902119]
4299,[12.81749179]
4349,[12.98364865]
4399,[9.49435444]
4449,[13.14980552]
4499,[12.98364865]
4549,[13.48211926]
4599,[14.81137419]
4649,[8.16509951]
4699,[12.31902119]
4749,[12.65133492]
4799,[13.48211926]
4849,[11.48823685]
4899,[12.81749179]
4949,[12.81749179]
4999,[13.98058986]
5049,[10.98976625]
5099,[15.14368793]
5149,[12.98364865]
5199,[12.48517805]
5249,[14.14674672]
5299,[16.14062913]
5349,[8.33125637]
5399,[13.31596239]
5449,[12.98364865]
5499,[13.81443299]
5549,[17.13757033]
5599,[12.48517805]
5649,[12.81749179]
5699,[12.81749179]
5749,[11.65439372]
5799,[15.30984479]
5849,[13.48211926]
5899,[12.65133492]
5949,[12.15286432]
5999,[10.82360938]
6049,[9.16204071]
6099,[13.31596239]
6149,[12.81749179]
6199,[12.81749179]
6249,[14.64521733]
6299,[13.64827612]
6349,[13.48211926]
6399,[12.81749179]
6449,[10.49129565]
6499,[16.63909973]
6549,[13.31596239]
6599,[13.14980552]
6649,[13.98058986]
6699,[13.98058986]
6749,[12.98364865]
6799,[12.48517805]
6849,[12.98364865]
6899,[12.81749179]
6949,[17.63604094]
6999,[12.98364865]
7049,[11.82055058]
7099,[11.48823685]
7149,[11.65439372]
7199,[13.31596239]
7249,[13.31596239]
7299,[12.81749179]
7349,[12.31902119]
7399,[10.49129565]
7449,[13.14980552]
7499,[10.98976625]
7549,[12.81749179]
7599,[10.32513878]
7649,[17.3037272]
7699,[13.64827612]
7749,[12.81749179]
7799,[12.98364865]
7849,[13.98058986]
7899,[13.64827612]
7949,[13.14980552]
7999,[12.98364865]
8049,[12.65133492]
8099,[17.46988407]
8149,[12.98364865]
8199,[13.14980552]
8249,[12.81749179]
8299,[11.65439372]
8349,[16.97141347]
8399,[12.98364865]
8449,[12.98364865]
8499,[14.14674672]
8549,[8.16509951]
8599,[12.15286432]
8649,[12.98364865]
8699,[11.98670745]
8749,[13.31596239]
8799,[16.8052566]
