timeLog,thermoLog
0,[13.31596239]
50,[14.47906046]
100,[14.14674672]
150,[14.14674672]
200,[16.14062913]
250,[14.47906046]
300,[14.14674672]
350,[14.47906046]
400,[16.8052566]
450,[18.13451154]
500,[14.64521733]
550,[14.31290359]
600,[14.47906046]
650,[13.48211926]
700,[10.15898191]
750,[14.47906046]
800,[14.14674672]
850,[14.14674672]
900,[12.31902119]
950,[13.14980552]
1000,[14.47906046]
1050,[14.31290359]
1100,[17.8021978]
1150,[17.63604094]
1200,[13.48211926]
1250,[14.31290359]
1300,[16.14062913]
1350,[17.8021978]
1400,[19.46376647]
1450,[13.48211926]
1500,[14.81137419]
1550,[14.81137419]
1600,[17.8021978]
1650,[16.306786]
1700,[12.98364865]
1750,[13.81443299]
1800,[12.15286432]
1850,[10.65745251]
1900,[14.14674672]
1950,[14.14674672]
2000,[14.14674672]
2050,[10.49129565]
2100,[7.50047204]
2150,[13.81443299]
2200,[12.48517805]
2250,[12.98364865]
2300,[13.64827612]
2350,[11.15592311]
2400,[14.47906046]
2450,[13.14980552]
2500,[12.15286432]
2550,[10.98976625]
2600,[14.47906046]
2650,[14.14674672]
2700,[13.14980552]
2750,[9.16204071]
2800,[6.6696877]
2850,[13.48211926]
2900,[13.81443299]
2950,[13.31596239]
3000,[10.49129565]
3050,[8.33125637]
3100,[13.98058986]
3150,[14.14674672]
3200,[14.81137419]
3250,[16.8052566]
3300,[14.81137419]
3350,[14.14674672]
3400,[12.98364865]
3450,[12.48517805]
3500,[20.93040293]
3550,[14.47906046]
3600,[14.97753106]
3650,[12.81749179]
3700,[15.47600166]
3750,[19.13145274]
3800,[14.31290359]
3850,[14.81137419]
3900,[12.81749179]
3950,[12.31902119]
4000,[14.31290359]
4050,[14.14674672]
4100,[14.14674672]
4150,[16.14062913]
4200,[12.81749179]
4250,[13.48211926]
4300,[13.48211926]
4350,[14.47906046]
4400,[13.31596239]
4450,[8.49741324]
4500,[12.98364865]
4550,[13.98058986]
4600,[12.98364865]
4650,[15.8083154]
4700,[13.64827612]
4750,[12.98364865]
4800,[12.81749179]
4850,[10.65745251]
4900,[14.47906046]
4950,[14.64521733]
5000,[13.48211926]
5050,[12.31902119]
5100,[9.32819758]
5150,[9.82666818]
5200,[13.81443299]
5250,[12.98364865]
5300,[14.31290359]
5350,[12.48517805]
5400,[11.48823685]
5450,[13.81443299]
5500,[13.81443299]
5550,[14.81137419]
5600,[15.8083154]
5650,[13.81443299]
5700,[14.31290359]
5750,[14.64521733]
5800,[14.97753106]
5850,[16.14062913]
5900,[14.14674672]
5950,[15.14368793]
6000,[15.47600166]
6050,[15.47600166]
6100,[18.13451154]
6150,[13.98058986]
6200,[14.97753106]
6250,[15.47600166]
6300,[13.31596239]
6350,[13.98058986]
6400,[14.31290359]
6450,[14.81137419]
6500,[17.46988407]
6550,[20.28571429]
6600,[12.81749179]
6650,[14.47906046]
6700,[14.47906046]
6750,[15.64215853]
6800,[20.28571429]
6850,[13.81443299]
6900,[13.48211926]
6950,[13.81443299]
7000,[11.15592311]
7050,[13.98058986]
7100,[13.48211926]
7150,[14.81137419]
7200,[15.64215853]
7250,[16.63909973]
7300,[13.48211926]
7350,[15.47600166]
7400,[15.8083154]
7450,[17.46988407]
7500,[17.63604094]
7550,[13.81443299]
7600,[13.98058986]
7650,[15.47600166]
7700,[15.97447226]
7750,[18.79913901]
7800,[14.31290359]
7850,[15.47600166]
7900,[13.31596239]
7950,[8.49741324]
8000,[14.47906046]
8050,[14.64521733]
8100,[14.14674672]
8150,[15.97447226]
8200,[9.49435444]
8250,[13.48211926]
8300,[14.81137419]
8350,[15.47600166]
8400,[17.13757033]
8450,[16.47294286]
8500,[14.47906046]
8550,[14.47906046]
8600,[12.81749179]
8650,[10.32513878]
8700,[13.81443299]
8750,[13.31596239]
8800,[13.81443299]
8850,[11.82055058]
8900,[7.6666289]
8950,[14.47906046]
9000,[13.48211926]
9050,[13.48211926]
9100,[12.81749179]
9150,[8.16509951]
9200,[14.14674672]
9250,[14.47906046]
9300,[14.14674672]
9350,[17.46988407]
9400,[14.14674672]
9450,[13.98058986]
9500,[13.81443299]
9550,[13.48211926]
9600,[19.13145274]
9650,[14.97753106]
9700,[14.14674672]
9750,[12.15286432]
9800,[10.49129565]
9850,[19.29760961]
9900,[14.47906046]
9950,[13.14980552]
10000,[12.31902119]
10050,[13.64827612]
10100,[12.81749179]
10150,[14.47906046]
10200,[13.48211926]
10250,[15.8083154]
10300,[17.46988407]
10350,[13.14980552]
10400,[13.48211926]
10450,[14.81137419]
10500,[10.32513878]
10550,[19.46376647]
10600,[13.48211926]
10650,[13.48211926]
10700,[13.81443299]
10750,[10.15898191]
10800,[8.49741324]
10850,[14.14674672]
10900,[14.31290359]
10950,[14.14674672]
11000,[17.3037272]
11050,[14.97753106]
11100,[13.81443299]
11150,[14.81137419]
11200,[12.98364865]
11250,[20.12454212]
11300,[14.14674672]
11350,[14.14674672]
11400,[13.48211926]
11450,[12.31902119]
11500,[17.46988407]
11550,[13.81443299]
11600,[13.14980552]
11650,[13.14980552]
11700,[13.48211926]
11750,[13.98058986]
11800,[14.14674672]
11850,[14.14674672]
11900,[14.47906046]
11950,[18.79913901]
12000,[12.81749179]
12050,[14.14674672]
12100,[15.97447226]
12150,[17.13757033]
12200,[16.97141347]
12250,[14.14674672]
12300,[14.14674672]
12350,[14.14674672]
12400,[15.8083154]
12450,[18.79913901]
12500,[14.47906046]
12550,[14.14674672]
12600,[13.81443299]
12650,[10.49129565]
12700,[13.64827612]
12750,[13.81443299]
12800,[14.47906046]
12850,[17.46988407]
12900,[9.82666818]
12950,[14.31290359]
13000,[13.64827612]
13050,[15.47600166]
13100,[16.8052566]
13150,[18.13451154]
13200,[16.47294286]
13250,[13.81443299]
13300,[13.48211926]
13350,[11.48823685]
13400,[14.31290359]
13450,[14.31290359]
13500,[15.47600166]
13550,[16.47294286]
13600,[9.49435444]
13650,[14.31290359]
13700,[14.81137419]
13750,[14.14674672]
13800,[18.13451154]
13850,[9.49435444]
13900,[14.64521733]
13950,[13.98058986]
14000,[13.31596239]
14050,[18.13451154]
14100,[15.14368793]
14150,[14.81137419]
