timeLog,thermoLog
0,[15.97447226]
50,[15.14368793]
100,[15.8083154]
150,[15.47600166]
200,[18.46682527]
250,[20.93040293]
300,[15.47600166]
350,[14.81137419]
400,[12.31902119]
450,[13.64827612]
500,[15.97447226]
550,[16.14062913]
600,[15.64215853]
650,[18.13451154]
700,[18.96529587]
750,[15.47600166]
800,[16.63909973]
850,[16.63909973]
900,[22.7032967]
950,[16.47294286]
1000,[16.47294286]
1050,[16.306786]
1100,[17.13757033]
1150,[13.31596239]
1200,[9.16204071]
1250,[16.306786]
1300,[16.47294286]
1350,[18.46682527]
1400,[18.96529587]
1450,[15.64215853]
1500,[16.8052566]
1550,[16.14062913]
1600,[14.47906046]
1650,[14.47906046]
1700,[15.47600166]
1750,[15.47600166]
1800,[16.8052566]
1850,[13.98058986]
1900,[11.82055058]
1950,[16.63909973]
2000,[15.8083154]
2050,[15.64215853]
2100,[11.48823685]
2150,[12.15286432]
2200,[15.47600166]
2250,[15.8083154]
2300,[18.3006684]
2350,[15.47600166]
2400,[16.8052566]
2450,[16.14062913]
2500,[14.97753106]
2550,[11.48823685]
2600,[9.49435444]
2650,[15.97447226]
2700,[16.306786]
2750,[15.97447226]
2800,[11.65439372]
2850,[8.33125637]
2900,[16.14062913]
2950,[15.64215853]
3000,[16.306786]
3050,[17.63604094]
3100,[15.8083154]
3150,[16.14062913]
3200,[15.64215853]
3250,[12.81749179]
3300,[11.82055058]
3350,[16.8052566]
3400,[16.47294286]
3450,[15.30984479]
3500,[14.97753106]
3550,[12.48517805]
3600,[15.8083154]
3650,[16.14062913]
3700,[15.64215853]
3750,[16.8052566]
3800,[16.47294286]
3850,[15.8083154]
3900,[15.64215853]
3950,[14.14674672]
4000,[14.31290359]
4050,[15.64215853]
4100,[16.47294286]
4150,[16.306786]
4200,[15.30984479]
4250,[14.97753106]
4300,[16.47294286]
4350,[15.47600166]
4400,[16.14062913]
4450,[16.306786]
4500,[16.8052566]
4550,[16.306786]
4600,[16.306786]
4650,[15.47600166]
4700,[18.79913901]
4750,[20.12454212]
4800,[16.306786]
4850,[16.14062913]
4900,[16.306786]
4950,[13.64827612]
5000,[14.97753106]
5050,[16.63909973]
5100,[15.8083154]
5150,[19.13145274]
5200,[21.73626374]
5250,[16.306786]
5300,[16.306786]
5350,[15.64215853]
5400,[20.12454212]
5450,[23.02564103]
5500,[15.47600166]
5550,[16.8052566]
5600,[16.8052566]
5650,[15.8083154]
5700,[15.14368793]
5750,[16.14062913]
5800,[16.14062913]
5850,[18.79913901]
5900,[20.60805861]
5950,[16.8052566]
6000,[16.14062913]
6050,[17.96835467]
6100,[18.13451154]
6150,[21.09157509]
6200,[15.14368793]
6250,[16.14062913]
6300,[16.306786]
6350,[16.47294286]
6400,[17.46988407]
6450,[15.97447226]
6500,[16.8052566]
6550,[17.46988407]
6600,[19.13145274]
6650,[16.14062913]
6700,[15.8083154]
6750,[16.8052566]
6800,[19.62992334]
6850,[22.7032967]
6900,[15.8083154]
6950,[16.47294286]
7000,[17.13757033]
7050,[15.8083154]
7100,[18.96529587]
7150,[16.306786]
7200,[15.8083154]
7250,[15.47600166]
7300,[14.97753106]
7350,[13.81443299]
7400,[16.306786]
7450,[15.8083154]
7500,[15.30984479]
7550,[14.81137419]
7600,[15.14368793]
7650,[14.97753106]
7700,[16.14062913]
7750,[12.31902119]
7800,[9.82666818]
7850,[15.14368793]
7900,[15.64215853]
7950,[14.97753106]
8000,[13.14980552]
8050,[13.64827612]
8100,[16.14062913]
8150,[15.8083154]
8200,[15.64215853]
8250,[18.63298214]
8300,[16.8052566]
8350,[14.97753106]
8400,[16.47294286]
8450,[15.64215853]
8500,[10.82360938]
8550,[15.47600166]
8600,[15.64215853]
8650,[17.46988407]
8700,[17.63604094]
8750,[19.46376647]
8800,[16.14062913]
8850,[16.14062913]
8900,[15.64215853]
8950,[18.46682527]
9000,[18.96529587]
9050,[16.97141347]
9100,[16.47294286]
9150,[15.14368793]
9200,[14.81137419]
9250,[16.306786]
9300,[15.30984479]
9350,[17.13757033]
9400,[18.13451154]
9450,[18.46682527]
9500,[16.8052566]
9550,[15.64215853]
9600,[15.64215853]
9650,[19.79608021]
9700,[16.97141347]
9750,[15.64215853]
9800,[16.47294286]
9850,[14.64521733]
9900,[12.48517805]
9950,[17.63604094]
10000,[16.14062913]
10050,[15.8083154]
10100,[15.64215853]
10150,[19.13145274]
10200,[17.13757033]
10250,[15.30984479]
10300,[13.31596239]
10350,[13.31596239]
10400,[13.64827612]
10450,[15.97447226]
10500,[16.47294286]
10550,[14.97753106]
10600,[14.14674672]
10650,[8.99588384]
10700,[15.64215853]
10750,[15.30984479]
10800,[15.47600166]
10850,[17.3037272]
10900,[11.65439372]
10950,[16.14062913]
11000,[14.14674672]
11050,[14.64521733]
11100,[12.31902119]
11150,[16.8052566]
11200,[15.47600166]
11250,[16.97141347]
11300,[17.46988407]
11350,[12.48517805]
11400,[15.97447226]
11450,[15.97447226]
11500,[15.8083154]
11550,[19.29760961]
11600,[21.57509158]
11650,[16.306786]
11700,[14.81137419]
11750,[15.64215853]
11800,[17.8021978]
11850,[17.3037272]
11900,[16.14062913]
11950,[16.8052566]
12000,[16.47294286]
12050,[9.32819758]
12100,[15.8083154]
12150,[16.306786]
12200,[16.14062913]
12250,[18.46682527]
12300,[10.32513878]
12350,[14.97753106]
12400,[15.47600166]
12450,[16.14062913]
12500,[18.96529587]
12550,[19.79608021]
12600,[15.64215853]
12650,[16.14062913]
12700,[15.47600166]
12750,[13.64827612]
12800,[16.306786]
12850,[16.14062913]
12900,[16.63909973]
12950,[17.46988407]
13000,[14.81137419]
13050,[15.47600166]
13100,[16.63909973]
13150,[16.14062913]
13200,[18.79913901]
13250,[21.73626374]
13300,[15.47600166]
13350,[15.64215853]
13400,[16.47294286]
13450,[13.64827612]
13500,[18.13451154]
13550,[15.64215853]
13600,[16.63909973]
13650,[16.63909973]
13700,[15.14368793]
13750,[15.97447226]
13800,[16.8052566]
13850,[15.8083154]
13900,[16.47294286]
13950,[22.54212454]
14000,[15.64215853]
14050,[15.30984479]
14100,[14.81137419]
14150,[13.98058986]
14200,[16.47294286]
14250,[16.47294286]
14300,[15.47600166]
14350,[15.30984479]
14400,[17.3037272]
14450,[16.14062913]
14500,[15.47600166]
14550,[15.47600166]
14600,[15.47600166]
14650,[19.62992334]
14700,[15.47600166]
14750,[14.81137419]
14800,[15.30984479]
14850,[11.32207998]
14900,[11.82055058]
14950,[15.47600166]
15000,[15.8083154]
15050,[15.8083154]
15100,[14.47906046]
15150,[8.33125637]
15200,[17.3037272]
15250,[15.14368793]
15300,[16.97141347]
15350,[20.12454212]
15400,[15.64215853]
15450,[15.97447226]
15500,[15.30984479]
15550,[14.31290359]
15600,[14.31290359]
15650,[16.47294286]
15700,[15.97447226]
15750,[14.97753106]
15800,[17.8021978]
15850,[9.16204071]
15900,[16.63909973]
15950,[15.8083154]
16000,[15.47600166]
16050,[17.46988407]
16100,[13.14980552]
16150,[16.63909973]
16200,[15.97447226]
16250,[16.14062913]
16300,[11.82055058]
16350,[15.97447226]
16400,[16.63909973]
16450,[16.306786]
16500,[17.8021978]
16550,[10.82360938]
16600,[14.14674672]
16650,[15.64215853]
16700,[15.47600166]
16750,[19.62992334]
16800,[20.60805861]
16850,[16.306786]
16900,[15.14368793]
16950,[16.8052566]
17000,[14.47906046]
17050,[19.46376647]
17100,[15.97447226]
17150,[17.96835467]
17200,[15.8083154]
17250,[10.49129565]
17300,[15.97447226]
17350,[15.47600166]
17400,[16.47294286]
17450,[18.79913901]
17500,[10.98976625]
17550,[16.47294286]
17600,[15.47600166]
17650,[16.47294286]
17700,[17.63604094]
17750,[18.63298214]
17800,[15.8083154]
17850,[16.306786]
17900,[15.8083154]
17950,[13.64827612]
18000,[15.47600166]
18050,[15.64215853]
18100,[16.97141347]
18150,[17.13757033]
18200,[16.97141347]
18250,[15.8083154]
18300,[16.8052566]
18350,[16.306786]
18400,[15.47600166]
18450,[19.46376647]
18500,[15.30984479]
18550,[16.306786]
18600,[15.8083154]
18650,[11.98670745]
18700,[19.13145274]
18750,[15.14368793]
18800,[15.97447226]
18850,[16.47294286]
18900,[16.47294286]
18950,[16.14062913]
19000,[14.64521733]
19050,[15.64215853]
19100,[15.30984479]
19150,[19.96223708]
19200,[16.63909973]
19250,[14.14674672]
19300,[14.81137419]
19350,[13.64827612]
19400,[21.41391941]
19450,[15.8083154]
19500,[14.81137419]
19550,[16.306786]
19600,[14.31290359]
19650,[14.81137419]
19700,[15.14368793]
19750,[15.14368793]
19800,[14.97753106]
19850,[19.62992334]
19900,[16.306786]
19950,[16.47294286]
20000,[15.30984479]
20050,[14.31290359]
20100,[19.96223708]
20150,[16.8052566]
20200,[14.97753106]
20250,[15.47600166]
20300,[13.81443299]
20350,[17.13757033]
20400,[15.8083154]
20450,[14.81137419]
20500,[15.14368793]
20550,[18.96529587]
20600,[15.97447226]
20650,[15.8083154]
20700,[15.14368793]
20750,[14.64521733]
20800,[21.57509158]
20850,[16.8052566]
20900,[17.13757033]
20950,[14.81137419]
21000,[13.98058986]
21050,[21.8974359]
21100,[15.97447226]
21150,[15.47600166]
21200,[15.64215853]
21250,[16.47294286]
21300,[9.49435444]
21350,[14.14674672]
21400,[16.8052566]
21450,[14.64521733]
21500,[13.31596239]
21550,[15.97447226]
21600,[15.8083154]
21650,[16.14062913]
21700,[17.13757033]
21750,[10.32513878]
