timeLog,thermoLog
0,[18.79913901]
50,[17.13757033]
100,[17.96835467]
150,[15.8083154]
200,[15.97447226]
250,[16.306786]
300,[15.14368793]
350,[16.14062913]
400,[15.14368793]
450,[15.47600166]
500,[17.46988407]
550,[19.62992334]
600,[15.8083154]
650,[14.97753106]
700,[13.98058986]
750,[11.48823685]
800,[11.65439372]
850,[15.8083154]
900,[16.306786]
950,[14.64521733]
1000,[18.13451154]
1050,[15.14368793]
1100,[15.47600166]
1150,[16.306786]
1200,[17.3037272]
1250,[20.44688645]
1300,[16.306786]
1350,[15.47600166]
1400,[15.30984479]
1450,[15.47600166]
1500,[22.38095238]
1550,[15.97447226]
1600,[14.97753106]
1650,[14.31290359]
1700,[13.48211926]
1750,[15.97447226]
1800,[14.81137419]
1850,[15.8083154]
1900,[14.81137419]
1950,[15.47600166]
2000,[15.47600166]
2050,[14.97753106]
2100,[15.14368793]
2150,[11.98670745]
2200,[12.48517805]
2250,[15.14368793]
2300,[15.14368793]
2350,[15.14368793]
2400,[18.63298214]
2450,[14.64521733]
2500,[14.81137419]
2550,[16.14062913]
2600,[18.96529587]
2650,[21.57509158]
2700,[14.97753106]
2750,[15.14368793]
2800,[16.47294286]
2850,[18.3006684]
2900,[19.46376647]
2950,[14.97753106]
3000,[14.97753106]
3050,[14.14674672]
3100,[12.31902119]
3150,[15.8083154]
3200,[14.14674672]
3250,[15.97447226]
3300,[12.81749179]
3350,[13.64827612]
3400,[15.47600166]
3450,[15.97447226]
3500,[15.8083154]
3550,[14.14674672]
3600,[17.63604094]
3650,[15.64215853]
3700,[15.14368793]
3750,[16.8052566]
3800,[15.14368793]
3850,[15.97447226]
3900,[15.47600166]
3950,[14.31290359]
4000,[13.64827612]
4050,[10.15898191]
4100,[15.64215853]
4150,[14.64521733]
4200,[15.14368793]
4250,[13.64827612]
4300,[9.16204071]
4350,[14.97753106]
4400,[15.30984479]
4450,[15.47600166]
4500,[17.13757033]
4550,[15.8083154]
4600,[16.47294286]
4650,[16.47294286]
4700,[18.3006684]
4750,[18.46682527]
4800,[16.47294286]
4850,[15.14368793]
4900,[15.14368793]
4950,[18.46682527]
5000,[17.3037272]
5050,[15.47600166]
5100,[15.14368793]
5150,[12.48517805]
5200,[15.47600166]
5250,[15.64215853]
5300,[16.47294286]
5350,[13.64827612]
5400,[11.48823685]
5450,[16.8052566]
5500,[16.14062913]
5550,[13.48211926]
5600,[15.64215853]
5650,[12.15286432]
5700,[15.14368793]
5750,[16.8052566]
5800,[16.47294286]
5850,[16.14062913]
5900,[11.82055058]
5950,[15.64215853]
6000,[16.47294286]
6050,[14.81137419]
6100,[10.98976625]
6150,[10.15898191]
6200,[15.14368793]
6250,[16.47294286]
6300,[17.13757033]
6350,[17.8021978]
6400,[15.8083154]
6450,[15.30984479]
6500,[14.81137419]
6550,[15.97447226]
6600,[9.49435444]
6650,[15.47600166]
6700,[15.47600166]
6750,[15.8083154]
6800,[16.306786]
6850,[10.49129565]
6900,[13.81443299]
6950,[15.47600166]
7000,[17.46988407]
7050,[20.44688645]
7100,[15.97447226]
7150,[15.64215853]
