timeLog,thermoLog
0,[14.47906046]
50,[14.14674672]
100,[12.48517805]
150,[17.13757033]
200,[16.97141347]
250,[15.97447226]
300,[19.46376647]
350,[20.76923077]
400,[15.97447226]
450,[16.306786]
500,[16.47294286]
550,[22.38095238]
600,[20.93040293]
650,[16.97141347]
700,[17.13757033]
750,[18.3006684]
800,[15.30984479]
850,[9.82666818]
900,[16.8052566]
950,[17.3037272]
1000,[21.25274725]
1050,[18.13451154]
1100,[16.47294286]
1150,[16.306786]
1200,[15.97447226]
1250,[18.46682527]
1300,[11.48823685]
1350,[18.13451154]
1400,[17.46988407]
1450,[15.97447226]
1500,[11.82055058]
1550,[12.98364865]
1600,[17.13757033]
1650,[16.8052566]
1700,[15.8083154]
1750,[16.47294286]
1800,[16.47294286]
1850,[17.63604094]
1900,[15.47600166]
1950,[12.81749179]
2000,[11.48823685]
2050,[16.8052566]
2100,[16.63909973]
2150,[14.97753106]
2200,[14.47906046]
2250,[16.8052566]
2300,[14.97753106]
2350,[16.97141347]
2400,[16.8052566]
2450,[21.73626374]
2500,[24.95970696]
2550,[17.46988407]
2600,[16.14062913]
2650,[17.46988407]
2700,[14.97753106]
2750,[16.47294286]
2800,[16.63909973]
2850,[17.63604094]
2900,[20.28571429]
2950,[21.41391941]
3000,[16.14062913]
3050,[18.13451154]
3100,[16.14062913]
3150,[16.14062913]
3200,[12.48517805]
3250,[15.97447226]
3300,[17.13757033]
3350,[14.97753106]
3400,[12.81749179]
3450,[16.47294286]
3500,[17.46988407]
3550,[17.46988407]
3600,[16.63909973]
3650,[18.13451154]
3700,[19.29760961]
3750,[16.47294286]
3800,[16.306786]
3850,[15.47600166]
3900,[15.47600166]
3950,[18.63298214]
4000,[16.8052566]
4050,[16.8052566]
4100,[19.46376647]
4150,[22.38095238]
4200,[16.14062913]
4250,[16.8052566]
4300,[15.14368793]
4350,[19.79608021]
4400,[19.79608021]
4450,[16.63909973]
4500,[15.8083154]
4550,[16.306786]
4600,[12.81749179]
4650,[12.31902119]
4700,[17.13757033]
4750,[14.81137419]
4800,[15.14368793]
4850,[14.31290359]
4900,[16.306786]
4950,[15.64215853]
5000,[15.14368793]
5050,[15.47600166]
5100,[19.79608021]
5150,[15.8083154]
5200,[17.13757033]
5250,[17.8021978]
5300,[20.76923077]
5350,[16.63909973]
5400,[15.8083154]
5450,[16.97141347]
5500,[15.8083154]
5550,[12.65133492]
5600,[9.66051131]
5650,[16.306786]
5700,[16.306786]
5750,[16.306786]
5800,[18.13451154]
5850,[16.306786]
5900,[15.30984479]
5950,[13.48211926]
6000,[13.31596239]
6050,[12.15286432]
6100,[16.306786]
6150,[16.306786]
6200,[14.81137419]
6250,[18.79913901]
6300,[20.93040293]
6350,[15.64215853]
6400,[16.14062913]
6450,[17.13757033]
6500,[16.8052566]
6550,[17.8021978]
6600,[16.306786]
6650,[15.64215853]
6700,[16.63909973]
6750,[14.47906046]
6800,[13.81443299]
6850,[16.47294286]
6900,[16.14062913]
6950,[18.13451154]
7000,[14.64521733]
7050,[16.8052566]
7100,[15.8083154]
7150,[15.8083154]
7200,[10.82360938]
7250,[12.81749179]
7300,[15.14368793]
7350,[16.306786]
7400,[17.3037272]
7450,[20.44688645]
7500,[14.64521733]
7550,[16.47294286]
7600,[15.64215853]
7650,[17.3037272]
7700,[18.63298214]
7750,[20.44688645]
7800,[16.47294286]
7850,[17.3037272]
7900,[17.8021978]
7950,[18.46682527]
8000,[16.63909973]
8050,[15.64215853]
8100,[17.13757033]
8150,[16.47294286]
8200,[21.09157509]
8250,[15.8083154]
8300,[16.14062913]
8350,[15.97447226]
8400,[12.15286432]
8450,[9.99282504]
8500,[15.8083154]
8550,[16.306786]
8600,[15.97447226]
8650,[19.46376647]
8700,[15.47600166]
8750,[15.8083154]
8800,[16.97141347]
8850,[16.97141347]
8900,[15.30984479]
8950,[16.306786]
9000,[15.30984479]
9050,[17.13757033]
9100,[19.13145274]
9150,[18.46682527]
9200,[15.64215853]
9250,[16.47294286]
9300,[14.31290359]
9350,[11.65439372]
9400,[13.81443299]
9450,[16.97141347]
9500,[16.63909973]
9550,[16.8052566]
9600,[15.64215853]
9650,[14.47906046]
9700,[16.8052566]
9750,[15.64215853]
9800,[15.8083154]
9850,[18.13451154]
9900,[20.28571429]
9950,[16.8052566]
10000,[17.3037272]
10050,[17.3037272]
10100,[15.47600166]
10150,[15.8083154]
10200,[16.97141347]
10250,[16.8052566]
10300,[17.46988407]
10350,[21.73626374]
10400,[15.30984479]
10450,[15.8083154]
10500,[14.14674672]
10550,[13.81443299]
10600,[14.14674672]
10650,[16.47294286]
10700,[16.14062913]
10750,[16.14062913]
10800,[18.13451154]
10850,[12.15286432]
10900,[16.97141347]
10950,[16.306786]
11000,[16.14062913]
11050,[13.14980552]
11100,[16.97141347]
11150,[16.8052566]
11200,[17.63604094]
11250,[17.46988407]
11300,[20.12454212]
11350,[16.47294286]
11400,[15.8083154]
11450,[16.14062913]
11500,[13.48211926]
11550,[17.63604094]
11600,[16.8052566]
11650,[15.64215853]
11700,[16.14062913]
11750,[13.48211926]
11800,[14.97753106]
11850,[15.8083154]
